Name,译名,Version,URL,ModLoader
Xaero's Minimap,Xaero的小地图,24.3.0,https://www.curseforge.com/minecraft/mc-mods/xaeros-minimap,"NeoForge,Fabric"
Xaero's World Map,Xaero的世界地图,1.39.0,https://www.curseforge.com/minecraft/mc-mods/xaeros-world-map,"NeoForge,Fabric"
Actually Additions,实用拓展,1.3.10,https://www.curseforge.com/minecraft/mc-mods/actually-additions,NeoForge
Nitrogen,,1.1.21,https://github.com/The-Aether-Team/Nitrogen,"NeoForge,Fabric"
Exposure,拾光定影,1.9.5,https://www.curseforge.com/minecraft/mc-mods/exposure,"NeoForge,Fabric"
M.R.U,,1.0.0,https://www.curseforge.com/minecraft/mc-mods/mru,"NeoForge,Fabric"
Inventory Profiles Next,一键背包整理Next,2.0.4,https://www.curseforge.com/minecraft/mc-mods/inventory-profiles-next,"NeoForge,Fabric"
Iris Shaders,,1.8.0,https://www.curseforge.com/minecraft/mc-mods/irisshaders,NeoForge
Iris Shaders,,1.8.1,https://www.curseforge.com/minecraft/mc-mods/irisshaders,Fabric
Ribbits,,4.1.0,https://www.curseforge.com/minecraft/mc-mods/ribbits,"NeoForge,Fabric"
Supplementaries,锦致装饰,3.1.1,https://www.curseforge.com/minecraft/mc-mods/supplementaries,"NeoForge,Fabric"
TenshiLib,,1.8.2,https://github.com/Flemmli97/TenshiLib,"NeoForge,Fabric"
Additional Structures,失落废墟,6.3.0,https://www.curseforge.com/minecraft/mc-mods/additional-structures,NeoForge
Additional Structures,失落废墟,5.1.0,https://www.curseforge.com/minecraft/mc-mods/additional-structures-fabric,Fabric
Alex's Caves,Alex 的洞穴,2.0.9,https://www.curseforge.com/minecraft/mc-mods/alexs-caves-unofficial-port,NeoForge
Citadel,,2.7.0,https://www.curseforge.com/minecraft/mc-mods/citadel,NeoForge
Bagus Lib,,13.0.0,https://www.curseforge.com/minecraft/mc-mods/bagus-lib,NeoForge
Blueprint,,8.0.0,https://www.curseforge.com/minecraft/mc-mods/blueprint,NeoForge
Hexerei,魔法巫师,0.5.0.1,https://www.curseforge.com/minecraft/mc-mods/hexerei,NeoForge
ImmersiveEngineering,沉浸工程,12.1.0-185,https://www.curseforge.com/minecraft/mc-mods/immersive-engineering,NeoForge
Immersive Caves,,1.4.0,https://www.curseforge.com/minecraft/mc-mods/immersive-caves,NeoForge
Petrolpark Library,Petrolpark 的库,1.4.3,https://www.curseforge.com/minecraft/mc-mods/petrolpark-library,NeoForge
Placebo,,9.3.5,https://www.curseforge.com/minecraft/mc-mods/placebo,NeoForge
ProjectE,等价交换重制版,1.0.1,https://www.curseforge.com/minecraft/mc-mods/projecte,NeoForge
Quark,夸克,4.1-467.3573,https://www.curseforge.com/minecraft/mc-mods/quark,NeoForge
Zeta,,1.1-33.147,https://www.curseforge.com/minecraft/mc-mods/zeta,NeoForge
Titanium,钛,4.0.12,https://www.curseforge.com/minecraft/mc-mods/titanium,NeoForge
Voidscape,虚空工艺,1.9.583,https://www.curseforge.com/minecraft/mc-mods/voidscape,NeoForge
Ars Nouveau,新生魔艺,5.9.4,https://www.curseforge.com/minecraft/mc-mods/ars-nouveau,NeoForge
Immersive Portals,沉浸式传送门,6.0.6,https://github.com/qouteall/ImmersivePortalsMod,"NeoForge,Fabric"
Kiwi Library,,15.7.5,https://www.curseforge.com/minecraft/mc-mods/kiwi,NeoForge
Kiwi Library,,15.1.5,https://www.curseforge.com/minecraft/mc-mods/kiwi-fabric,Fabric
UnionLib,,12.0.18,https://www.curseforge.com/minecraft/mc-mods/unionlib,"NeoForge,Fabric"
All The Compatibility,,6.0.6,https://www.curseforge.com/minecraft/mc-mods/all-the-compatibility,NeoForge
FancyToasts,,1.4.7,https://www.curseforge.com/minecraft/mc-mods/fancy-toasts,NeoForge
FancyToasts,,1.4.5.1,https://www.curseforge.com/minecraft/mc-mods/fancy-toasts,Fabric
Iron's Lib,,1.1.0,https://www.curseforge.com/minecraft/mc-mods/irons-lib,NeoForge
